Epoch	accu
1	0.879862089059
2	0.8962754334
3	0.90317098043
4	0.906230272423
5	0.907638517943
6	0.909338124605
7	0.910455008984
8	0.911571893362
9	0.912057495265
10	0.912883018501
11	0.913465740786
12	0.913854222309
13	0.914291264022
14	0.914145583451
15	0.914922546496
16	0.915311028019
17	0.915893750304
18	0.915748069732
19	0.915796629923
20	0.916185111446
21	0.916427912397
22	0.916864954111
23	0.91681639392
24	0.917059194872
25	0.917399116205
26	0.917884718108
27	0.91817607925
28	0.918661681154
29	0.918758801535
30	0.919001602486
31	0.919195843248
32	0.919341523819
33	0.919438644199
34	0.919681445151
35	0.919827125722
36	0.919972806293
37	0.919972806293
38	0.920021366484
39	0.920021366484
40	0.920215607245
41	0.920555528578
42	0.92084688972
43	0.920944010101
44	0.92089544991
45	0.920992570291
46	0.92084688972
47	0.920652648958
48	0.920555528578
49	0.920555528578
50	0.920555528578
